card_id,front,back,catalan,espanol,palabra,categoria_gramatical,usage_tags,audio_file_name
paraula_0015_01,{{c1::els}} gats estan jugant al jardí.<br>Los gatos están jugando en el jardín.,[sound:els_gats_estan_jugant_al_jard.mp3],Els gats estan jugant al jardí.,Los gatos están jugando en el jardín.,els,Article,Common,els_gats_estan_jugant_al_jard.mp3
paraula_0016_01,{{c1::les}} dones estan parlant.<br>Las mujeres están hablando.,[sound:les_dones_estan_parlant.mp3],Les dones estan parlant.,Las mujeres están hablando.,les,Article,Common,les_dones_estan_parlant.mp3
paraula_0017_01,Ella sempre vol {{c1::més}}.<br>Ella siempre quiere más.,[sound:ella_sempre_vol_ms.mp3],Ella sempre vol més.,Ella siempre quiere más.,més,Adverb,Common,ella_sempre_vol_ms.mp3
paraula_0018_01,Haig d'anar a la feina.<br>Tengo que ir al trabajo.,[sound:haig_danar_a_la_feina.mp3],Haig d'anar a la feina.,Tengo que ir al trabajo.,haver,Verb (To have),Common,haig_danar_a_la_feina.mp3
paraula_0019_01,Vaig {{c1::fer}} el sopar ahir.<br>Hice la cena ayer.,[sound:vaig_fer_el_sopar_ahir.mp3],Vaig fer el sopar ahir.,Hice la cena ayer.,fer,Verb (To do),Common,vaig_fer_el_sopar_ahir.mp3
paraula_0020_01,No sé {{c1::com}} ho has fet.<br>No sé cómo lo has hecho.,[sound:no_s_com_ho_has_fet.mp3],No sé com ho has fet.,No sé cómo lo has hecho.,com,Conjunction,Common,no_s_com_ho_has_fet.mp3
paraula_0021_01,Vols un cafè {{c1::o}} un te?<br>¿Quieres un café {{c2::o}} un té?,[sound:vols_un_caf_o_un_te.mp3],Vols un cafè o un te?,¿Quieres un café o un té?,o,Conjunction,common,vols_un_caf_o_un_te.mp3
paraula_0022_01,"M'agrada estudiar, {{c1::però}} també necessito descansar.<br>Me gusta estudiar, pero también necesito descansar.",[sound:magrada_estudiar_per_tamb_necessito_descansar.mp3],"M'agrada estudiar, però també necessito descansar.","Me gusta estudiar, pero también necesito descansar.",però,Conjunction,common,magrada_estudiar_per_tamb_necessito_descansar.mp3
paraula_0023_01,Aquest és el seu llibre.<br>Este es su libro.,[sound:aquest_s_el_seu_llibre.mp3],Aquest és el seu llibre.,Este es su libro.,seva,Possessive Adjective,common,aquest_s_el_seu_llibre.mp3
paraula_0024_01,Aquest és el {{c1::seu}} cotxe.<br>Este es su coche.,[sound:aquest_s_el_seu_cotxe.mp3],Aquest és el seu cotxe.,Este es su coche.,seu,Possessive adjective,common,aquest_s_el_seu_cotxe.mp3
paraula_0025_01,Aquests són els {{c1::seus}} gossos.<br>Estos son sus perros.,[sound:aquests_sn_els_seus_gossos.mp3],Aquests són els seus gossos.,Estos son sus perros.,seus,Possessive Adjective,common,aquests_sn_els_seus_gossos.mp3
paraula_0026_01,Aquestes són les {{c1::seves}} maletes.<br>Estas son sus maletas.,[sound:aquestes_sn_les_seves_maletes.mp3],Aquestes són les seves maletes.,Estas son sus maletas.,seves,Possessive Adjective,common,aquestes_sn_les_seves_maletes.mp3
paraula_0027_01,{{c1::aquest}} és el meu amic.<br>Este es mi amigo.,[sound:aquest_s_el_meu_amic.mp3],Aquest és el meu amic.,Este es mi amigo.,aquest,Demonstrative Adjective,common,aquest_s_el_meu_amic.mp3
paraula_0028_01,{{c1::aquesta}} és la meva casa.<br>Esta es mi casa.,[sound:aquesta_s_la_meva_casa.mp3],Aquesta és la meva casa.,Esta es mi casa.,aquesta,Demonstrative Adjective,common,aquesta_s_la_meva_casa.mp3
paraula_0029_01,{{c1::aquests}} són els meus llibres.<br>Estos son mis libros.,[sound:aquests_sn_els_meus_llibres.mp3],Aquests són els meus llibres.,Estos son mis libros.,aquests,Demonstrative Adjective,common,aquests_sn_els_meus_llibres.mp3
paraula_0030_01,{{c1::aquestes}} són les meves sabates.<br>Estas son mis zapatos.,[sound:aquestes_sn_les_meves_sabates.mp3],Aquestes són les meves sabates.,Estas son mis zapatos.,aquestes,Demonstrative Adjective,common,aquestes_sn_les_meves_sabates.mp3
paraula_0031_01,"{{c1::si}} plou, em quedaré a casa.<br>{{c2::si}} llueve, me quedaré en casa.",[sound:si_plou_em_quedar_a_casa.mp3],"Si plou, em quedaré a casa.","Si llueve, me quedaré en casa.",si,conjunction,"common, condition",si_plou_em_quedar_a_casa.mp3
paraula_0031_02,"{{c1::si}}, jo ho faré.<br>{{c2::si}}, yo lo haré.",[sound:si_jo_ho_far.mp3],"Si, jo ho faré.","Si, yo lo haré.",si,adverb,"common, affirmation",si_jo_ho_far.mp3
paraula_0032_01,Estic {{c1::molt}} cansat.<br>Estoy muy cansado.,[sound:estic_molt_cansat.mp3],Estic molt cansat.,Estoy muy cansado.,molt,adverb,"common, intensity",estic_molt_cansat.mp3
paraula_0033_01,Cada {{c1::any}} celebrem el seu aniversari.<br>Cada año celebramos su aniversario.,[sound:cada_any_celebrem_el_seu_aniversari.mp3],Cada any celebrem el seu aniversari.,Cada año celebramos su aniversario.,any,noun,"common, time",cada_any_celebrem_el_seu_aniversari.mp3
paraula_0034_01,He llegit {{c1::tot}} el llibre.<br>He leído todo el libro.,[sound:he_llegit_tot_el_llibre.mp3],He llegit tot el llibre.,He leído todo el libro.,tot,adjective,"common, quantity",he_llegit_tot_el_llibre.mp3
paraula_0035_01,Jo {{c1::també}} vull anar.<br>Yo también quiero ir.,[sound:jo_tamb_vull_anar.mp3],Jo també vull anar.,Yo también quiero ir.,també,adverb,"common, addition",jo_tamb_vull_anar.mp3
paraula_0036_01,Anem al cinema aquesta nit.<br>Vamos al cine esta noche.,[sound:anem_al_cinema_aquesta_nit.mp3],Anem al cinema aquesta nit.,Vamos al cine esta noche.,anar,verb,"common, movement",anem_al_cinema_aquesta_nit.mp3
paraula_0037_01,Avui és un {{c1::dia}} assolellat.<br>Hoy es un día soleado.,[sound:avui_s_un_dia_assolellat.mp3],Avui és un dia assolellat.,Hoy es un día soleado.,dia,noun,"common, time",avui_s_un_dia_assolellat.mp3
paraula_0038_01,Estic pensant {{c1::sobre}} el meu futur.<br>Estoy pensando {{c2::sobre}} mi futuro.,[sound:estic_pensant_sobre_el_meu_futur.mp3],Estic pensant sobre el meu futur.,Estoy pensando sobre mi futuro.,sobre,preposition,"common, location, direction, theme",estic_pensant_sobre_el_meu_futur.mp3
paraula_0039_01,Que vas {{c1::dir}} ahir a la reunió?<br>¿Qué dijiste ayer en la reunión?,[sound:que_vas_dir_ahir_a_la_reuni.mp3],Que vas dir ahir a la reunió?,¿Qué dijiste ayer en la reunión?,dir,verb,"common, communication",que_vas_dir_ahir_a_la_reuni.mp3
paraula_0040_01,No puc anar al cinema amb tu.<br>No puedo ir al cine contigo.,[sound:no_puc_anar_al_cinema_amb_tu.mp3],No puc anar al cinema amb tu.,No puedo ir al cine contigo.,poder,verb,"common, ability",no_puc_anar_al_cinema_amb_tu.mp3
paraula_0041_01,El gos està {{c1::entre}} les dues cases.<br>El perro está {{c2::entre}} las dos casas.,[sound:el_gos_est_entre_les_dues_cases.mp3],El gos està entre les dues cases.,El perro está entre las dos casas.,entre,Preposition,Common,el_gos_est_entre_les_dues_cases.mp3
paraula_0042_01,Ella vol {{c1::tenir}} un gat.<br>Ella quiere tener un gato.,[sound:ella_vol_tenir_un_gat.mp3],Ella vol tenir un gat.,Ella quiere tener un gato.,tenir,Verb,Common,ella_vol_tenir_un_gat.mp3
paraula_0043_01,"Em pots donar l'{{c1::altre}} llibre, si us plau?<br>¿Puedes darme el otro libro, por favor?",[sound:em_pots_donar_laltre_llibre_si_us_plau.mp3],"Em pots donar l'altre llibre, si us plau?","¿Puedes darme el otro libro, por favor?",altre,Adjective,Common,em_pots_donar_laltre_llibre_si_us_plau.mp3
paraula_0044_01,Anirem {{c1::fins}} a la muntanya.<br>Iremos hasta la montaña.,[sound:anirem_fins_a_la_muntanya.mp3],Anirem fins a la muntanya.,Iremos hasta la montaña.,fins,Preposition,Common,anirem_fins_a_la_muntanya.mp3
paraula_0045_01,Jo ho faré jo {{c1::mateix}}.<br>Lo haré yo mismo.,[sound:jo_ho_far_jo_mateix.mp3],Jo ho faré jo mateix.,Lo haré yo mismo.,mateix,Adjective,Common,jo_ho_far_jo_mateix.mp3
paraula_0046_01,Tenim un {{c1::gran}} problema.<br>Tenemos un {{c2::gran}} problema.,[sound:tenim_un_gran_problema.mp3],Tenim un gran problema.,Tenemos un gran problema.,gran,Adjective,Common,tenim_un_gran_problema.mp3
paraula_0047_01,Aquell {{c1::home}} està corrent.<br>Ese hombre está corriendo.,[sound:aquell_home_est_corrent.mp3],Aquell home està corrent.,Ese hombre está corriendo.,home,Noun,Common,aquell_home_est_corrent.mp3
paraula_0048_01,No tinc {{c1::temps}} per jugar.<br>No tengo tiempo para jugar.,[sound:no_tinc_temps_per_jugar.mp3],No tinc temps per jugar.,No tengo tiempo para jugar.,temps,Noun,Common,no_tinc_temps_per_jugar.mp3
paraula_0048_02,El {{c1::temps}} està canviant ràpidament.<br>El tiempo está cambiando rápidamente.,[sound:el_temps_est_canviant_rpidament.mp3],El temps està canviant ràpidament.,El tiempo está cambiando rápidamente.,temps,Noun,Common,el_temps_est_canviant_rpidament.mp3
paraula_0049_01,{{c1::encara}} no he dinat.<br>Todavía no he comido.,[sound:encara_no_he_dinat.mp3],Encara no he dinat.,Todavía no he comido.,encara,Adverb,Common,encara_no_he_dinat.mp3
paraula_0050_01,Aquest llibre és {{c1::meu}}.<br>Este libro es mío.,[sound:aquest_llibre_s_meu.mp3],Aquest llibre és meu.,Este libro es mío.,meu,Adjective,Common,aquest_llibre_s_meu.mp3
paraula_0051_01,Aquesta és la {{c1::meva}} casa.<br>Esta es mi casa.,[sound:aquesta_s_la_meva_casa.mp3],Aquesta és la meva casa.,Esta es mi casa.,meva,Possessive adjective,"Common, personal",aquesta_s_la_meva_casa.mp3
paraula_0052_01,Els {{c1::meus}} llibres estan en la taula.<br>Mis libros están en la mesa.,[sound:els_meus_llibres_estan_en_la_taula.mp3],Els meus llibres estan en la taula.,Mis libros están en la mesa.,meus,Possessive adjective,"Common, personal",els_meus_llibres_estan_en_la_taula.mp3
paraula_0053_01,Les {{c1::meves}} amigues són molt simpàtiques.<br>Mis amigas son muy simpáticas.,[sound:les_meves_amigues_sn_molt_simptiques.mp3],Les meves amigues són molt simpàtiques.,Mis amigas son muy simpáticas.,meves,Possessive adjective,"Common, personal",les_meves_amigues_sn_molt_simptiques.mp3
paraula_0054_01,Vaig {{c1::donar}} el regal a la meva amiga.<br>Di el regalo a mi amiga.,[sound:vaig_donar_el_regal_a_la_meva_amiga.mp3],Vaig donar el regal a la meva amiga.,Di el regalo a mi amiga.,donar,Verb,"Common, actions",vaig_donar_el_regal_a_la_meva_amiga.mp3
paraula_0055_01,La {{c1::vida}} és bella.<br>La {{c2::vida}} es bella.,[sound:la_vida_s_bella.mp3],La vida és bella.,La vida es bella.,vida,Noun,"Common, general",la_vida_s_bella.mp3
paraula_0056_01,Aquest és el meu {{c1::primer}} cotxe.<br>Este es mi {{c2::primer}} coche.,[sound:aquest_s_el_meu_primer_cotxe.mp3],Aquest és el meu primer cotxe.,Este es mi primer coche.,primer,Adjective,"Common, ordinal numbers",aquest_s_el_meu_primer_cotxe.mp3
paraula_0057_01,No entenc aquesta {{c1::cosa}}.<br>No entiendo esta {{c2::cosa}}.,[sound:no_entenc_aquesta_cosa.mp3],No entenc aquesta cosa.,No entiendo esta cosa.,cosa,Noun,"Common, general",no_entenc_aquesta_cosa.mp3
paraula_0058_01,{{c1::ja}} he acabat de menjar.<br>Ya he terminado de comer.,[sound:ja_he_acabat_de_menjar.mp3],Ja he acabat de menjar.,Ya he terminado de comer.,ja,Adverb,"Common, time",ja_he_acabat_de_menjar.mp3
paraula_0059_01,Tinc {{c1::dos}} gats.<br>Tengo {{c2::dos}} gatos.,[sound:tinc_dos_gats.mp3],Tinc dos gats.,Tengo dos gatos.,dos,Number,"Common, numbers",tinc_dos_gats.mp3
paraula_0060_01,Tinc {{c1::dues}} germanes.<br>Tengo dos hermanas.,[sound:tinc_dues_germanes.mp3],Tinc dues germanes.,Tengo dos hermanas.,dues,Number,"Common, numbers",tinc_dues_germanes.mp3
paraula_0071_01,Ell sembla trist.<br>Parece triste.,[sound:ell_sembla_trist.mp3],Ell sembla trist.,Parece triste.,semblar,verb,"common, feelings",ell_sembla_trist.mp3
paraula_0072_01,{{c1::ara}} té un nou cotxe.<br>Ahora tiene un nuevo coche.,[sound:ara_t_un_nou_cotxe.mp3],Ara té un nou cotxe.,Ahora tiene un nuevo coche.,ara,adverb,"common, time",ara_t_un_nou_cotxe.mp3
paraula_0073_01,Aquest pastís és molt {{c1::bo}}.<br>Este pastel es muy bueno.,[sound:aquest_pasts_s_molt_bo.mp3],Aquest pastís és molt bo.,Este pastel es muy bueno.,bo,adjective,"common, food",aquest_pasts_s_molt_bo.mp3
paraula_0074_01,No hi ha {{c1::cap}} problema.<br>No hay ningún problema.,[sound:no_hi_ha_cap_problema.mp3],No hi ha cap problema.,No hay ningún problema.,cap,determiner,"common, negation",no_hi_ha_cap_problema.mp3
paraula_0075_01,"{{c1::després}} de sopar, veurem una pel·lícula.<br>Después de cenar, veremos una película.",[sound:desprs_de_sopar_veurem_una_pellcula.mp3],"Després de sopar, veurem una pel·lícula.","Después de cenar, veremos una película.",després,preposition,"common, time",desprs_de_sopar_veurem_una_pellcula.mp3
paraula_0076_01,Ella és una {{c1::persona}} molt amable.<br>Ella es una {{c2::persona}} muy amable.,[sound:ella_s_una_persona_molt_amable.mp3],Ella és una persona molt amable.,Ella es una persona muy amable.,persona,noun,"common, people",ella_s_una_persona_molt_amable.mp3
paraula_0077_01,{{c1::això}} és la meva casa.<br>Esta es mi casa.,[sound:aix_s_la_meva_casa.mp3],Això és la meva casa.,Esta es mi casa.,això,pronoun,"common, objects",aix_s_la_meva_casa.mp3
paraula_0078_01,{{c1::només}} necessito un minut.<br>Solo necesito un minuto.,[sound:noms_necessito_un_minut.mp3],Només necessito un minut.,Solo necesito un minuto.,només,adverb,"common, time",noms_necessito_un_minut.mp3
paraula_0079_01,Vull viatjar pel {{c1::món}}.<br>Quiero viajar por el mundo.,[sound:vull_viatjar_pel_mn.mp3],Vull viatjar pel món.,Quiero viajar por el mundo.,món,noun,"common, travel",vull_viatjar_pel_mn.mp3
paraula_0080_01,He estat estudiant {{c1::durant}} tota la nit.<br>He estado estudiando toda la noche.,[sound:he_estat_estudiant_durant_tota_la_nit.mp3],He estat estudiant durant tota la nit.,He estado estudiando toda la noche.,durant,preposition,"common, time",he_estat_estudiant_durant_tota_la_nit.mp3
paraula_0081_01,La {{c1::manera}} com ho fas és increïble.<br>La {{c2::manera}} en que lo haces es increíble.,[sound:la_manera_com_ho_fas_s_increble.mp3],La manera com ho fas és increïble.,La manera en que lo haces es increíble.,manera,Noun,"Common, Formal, Informal",la_manera_com_ho_fas_s_increble.mp3
paraula_0081_02,No m'agrada la teva {{c1::manera}} de comportar-te.<br>No me gusta tu {{c2::manera}} de comportarte.,[sound:no_magrada_la_teva_manera_de_comportarte.mp3],No m'agrada la teva manera de comportar-te.,No me gusta tu manera de comportarte.,manera,Noun,"Common, Formal, Informal",no_magrada_la_teva_manera_de_comportarte.mp3
paraula_0082_01,{{c1::cada}} persona té el seu propi somni.<br>{{c2::cada}} persona tiene su propio sueño.,[sound:cada_persona_t_el_seu_propi_somni.mp3],Cada persona té el seu propi somni.,Cada persona tiene su propio sueño.,cada,Adjective,"Common, Formal, Informal",cada_persona_t_el_seu_propi_somni.mp3
paraula_0083_01,La casa és molt petita.<br>La casa es muy pequeña.,[sound:la_casa_s_molt_petita.mp3],La casa és molt petita.,La casa es muy pequeña.,petit,Adjective,"Common, Formal, Informal",la_casa_s_molt_petita.mp3
paraula_0084_01,M'agrada {{c1::parlar}} amb tu.<br>Me gusta hablar contigo.,[sound:magrada_parlar_amb_tu.mp3],M'agrada parlar amb tu.,Me gusta hablar contigo.,parlar,Verb,"Common, Formal, Informal",magrada_parlar_amb_tu.mp3
paraula_0085_01,No puc {{c1::trobar}} les meves claus.<br>No puedo encontrar mis llaves.,[sound:no_puc_trobar_les_meves_claus.mp3],No puc trobar les meves claus.,No puedo encontrar mis llaves.,trobar,Verb,"Common, Formal, Informal",no_puc_trobar_les_meves_claus.mp3
paraula_0086_01,La {{c1::dona}} va comprar pa al mercat.<br>La mujer compró pan en el mercado.,[sound:la_dona_va_comprar_pa_al_mercat.mp3],La dona va comprar pa al mercat.,La mujer compró pan en el mercado.,dona,Noun,"Common, Formal, Informal",la_dona_va_comprar_pa_al_mercat.mp3
paraula_0087_01,Puc {{c1::portar}} la bossa pel teu compte?<br>¿Puedo llevar la bolsa por ti?,[sound:puc_portar_la_bossa_pel_teu_compte.mp3],Puc portar la bossa pel teu compte?,¿Puedo llevar la bolsa por ti?,portar,Verb,"Common, Formal, Informal",puc_portar_la_bossa_pel_teu_compte.mp3
paraula_0088_01,Avui anirem a un {{c1::lloc}} especial.<br>Hoy vamos a un lugar especial.,[sound:avui_anirem_a_un_lloc_especial.mp3],Avui anirem a un lloc especial.,Hoy vamos a un lugar especial.,lloc,Noun,"Common, Formal, Informal",avui_anirem_a_un_lloc_especial.mp3
paraula_0089_01,Tinc molt de {{c1::treball}} per fer.<br>Tengo mucho trabajo por hacer.,[sound:tinc_molt_de_treball_per_fer.mp3],Tinc molt de treball per fer.,Tengo mucho trabajo por hacer.,treball,Noun,"Common, Formal, Informal",tinc_molt_de_treball_per_fer.mp3
paraula_0090_01,Va {{c1::deixar}} el llibre a la taula.<br>Dejó el libro en la mesa.,[sound:va_deixar_el_llibre_a_la_taula.mp3],Va deixar el llibre a la taula.,Dejó el libro en la mesa.,deixar,Verb,"Common, Formal, Informal",va_deixar_el_llibre_a_la_taula.mp3
paraula_0090_02,Deixa'm intentar-ho.<br>Déjame intentarlo.,[sound:deixam_intentarho.mp3],Deixa'm intentar-ho.,Déjame intentarlo.,deixar,Verb,"Common, Formal, Informal",deixam_intentarho.mp3
paraula_0091_01,Estudiaré {{c1::mentre}} tu cuines.<br>Estudiaré mientras tú cocinas.,[sound:estudiar_mentre_tu_cuines.mp3],Estudiaré mentre tu cuines.,Estudiaré mientras tú cocinas.,mentre,Conjunction,"common, time",estudiar_mentre_tu_cuines.mp3
paraula_0092_01,Ells vindran a la festa demà.<br>Ellos vendrán a la fiesta mañana.,[sound:ells_vindran_a_la_festa_dem.mp3],Ells vindran a la festa demà.,Ellos vendrán a la fiesta mañana.,venir,Verb,"common, movement",ells_vindran_a_la_festa_dem.mp3
paraula_0093_01,Estàs {{c1::bé}}?<br>¿Estás bien?,[sound:ests_b.mp3],Estàs bé?,¿Estás bien?,bé,Adverb,"common, well-being",ests_b.mp3
paraula_0094_01,Aquest examen és molt {{c1::important}}.<br>Este examen es muy importante.,[sound:aquest_examen_s_molt_important.mp3],Aquest examen és molt important.,Este examen es muy importante.,important,Adjective,"common, education",aquest_examen_s_molt_important.mp3
paraula_0095_01,{{c1::avui}} fa sol.<br>Hoy hace sol.,[sound:avui_fa_sol.mp3],Avui fa sol.,Hoy hace sol.,avui,Adverb,"common, temporal reference",avui_fa_sol.mp3
paraula_0096_01,Lluitarem {{c1::contra}} la injustícia.<br>Lucharemos {{c2::contra}} la injusticia.,[sound:lluitarem_contra_la_injustcia.mp3],Lluitarem contra la injustícia.,Lucharemos contra la injusticia.,contra,Preposition,"common, fight",lluitarem_contra_la_injustcia.mp3
paraula_0097_01,Visc en un petit {{c1::país}}.<br>Vivo en un pequeño {{c2::país}}.,[sound:visc_en_un_petit_pas.mp3],Visc en un petit país.,Vivo en un pequeño país.,país,Noun,"common, geography",visc_en_un_petit_pas.mp3
paraula_0098_01,Necessito un got d'aigua.<br>Necesito un vaso de agua.,[sound:necessito_un_got_daigua.mp3],Necessito un got d'aigua.,Necesito un vaso de agua.,necessitar,Verb,"common, need",necessito_un_got_daigua.mp3
paraula_0099_01,Crec en tu.<br>Creo en ti.,[sound:crec_en_tu.mp3],Crec en tu.,Creo en ti.,creure,Verb,"common, belief",crec_en_tu.mp3
paraula_0100_01,{{c1::quant}} val aquest llibre?<br>¿Cuánto cuesta este libro?,[sound:quant_val_aquest_llibre.mp3],Quant val aquest llibre?,¿Cuánto cuesta este libro?,quant,"Adjective, Pronoun","common, asking for quantity",quant_val_aquest_llibre.mp3
paraula_0101_01,El coneixement {{c1::general}} és important.<br>El conocimiento {{c2::general}} es importante.,[sound:el_coneixement_general_s_important.mp3],El coneixement general és important.,El conocimiento general es importante.,general,Adjective,"Common, Education",el_coneixement_general_s_important.mp3
paraula_0101_02,El {{c1::general}} va donar les ordres.<br>El {{c2::general}} dio las órdenes.,[sound:el_general_va_donar_les_ordres.mp3],El general va donar les ordres.,El general dio las órdenes.,general,Noun,"Common, Military",el_general_va_donar_les_ordres.mp3
paraula_0102_01,Vull {{c1::seguir}} aprenent.<br>Quiero {{c2::seguir}} aprendiendo.,[sound:vull_seguir_aprenent.mp3],Vull seguir aprenent.,Quiero seguir aprendiendo.,seguir,Verb,Common,vull_seguir_aprenent.mp3
paraula_0103_01,Tinc una mota a l'{{c1::ull}}.<br>Tengo una mota en el ojo.,[sound:tinc_una_mota_a_lull.mp3],Tinc una mota a l'ull.,Tengo una mota en el ojo.,ull,Noun,"Common, Body parts",tinc_una_mota_a_lull.mp3
paraula_0104_01,{{c1::mai}} he estat a Paris.<br>Nunca he estado en París.,[sound:mai_he_estat_a_paris.mp3],Mai he estat a Paris.,Nunca he estado en París.,mai,Adverb,Common,mai_he_estat_a_paris.mp3
paraula_0105_01,He tingut {{c1::força}} èxit amb el meu negoci.<br>He tenido bastante éxito con mi negocio.,[sound:he_tingut_fora_xit_amb_el_meu_negoci.mp3],He tingut força èxit amb el meu negoci.,He tenido bastante éxito con mi negocio.,força,Adverb,Common,he_tingut_fora_xit_amb_el_meu_negoci.mp3
paraula_0105_02,Necesito més {{c1::força}} per obrir la porta.<br>Necesito más fuerza para abrir la puerta.,[sound:necesito_ms_fora_per_obrir_la_porta.mp3],Necesito més força per obrir la porta.,Necesito más fuerza para abrir la puerta.,força,Noun,Common,necesito_ms_fora_per_obrir_la_porta.mp3
paraula_0106_01,No entenc aquesta paraula.<br>No entiendo esta palabra.,[sound:no_entenc_aquesta_paraula.mp3],No entenc aquesta paraula.,No entiendo esta palabra.,entendre,Verb,Common,no_entenc_aquesta_paraula.mp3
paraula_0107_01,Vull {{c1::començar}} una nova afició.<br>Quiero comenzar una nueva afición.,[sound:vull_comenar_una_nova_afici.mp3],Vull començar una nova afició.,Quiero comenzar una nueva afición.,començar,Verb,Common,vull_comenar_una_nova_afici.mp3
paraula_0108_01,Veig {{c1::aquell}} home cada dia.<br>Veo a ese hombre todos los días.,[sound:veig_aquell_home_cada_dia.mp3],Veig aquell home cada dia.,Veo a ese hombre todos los días.,aquell,Pronoun,Common,veig_aquell_home_cada_dia.mp3
paraula_0109_01,Tinc {{c1::tres}} gossos.<br>Tengo {{c2::tres}} perros.,[sound:tinc_tres_gossos.mp3],Tinc tres gossos.,Tengo tres perros.,tres,"Number, Adverb","Common, Mathematics",tinc_tres_gossos.mp3
paraula_0110_01,El {{c1::nivell}} d'aigua està baix.<br>El nivel de agua está bajo.,[sound:el_nivell_daigua_est_baix.mp3],El nivell d'aigua està baix.,El nivel de agua está bajo.,nivell,Noun,Common,el_nivell_daigua_est_baix.mp3
paraula_0110_02,Tinc un {{c1::nivell}} alt d'anglès.<br>Tengo un nivel alto de inglés.,[sound:tinc_un_nivell_alt_dangls.mp3],Tinc un nivell alt d'anglès.,Tengo un nivel alto de inglés.,nivell,Noun,"Common, Education",tinc_un_nivell_alt_dangls.mp3
